id;name;contact_person;phone;email;address
1;as without;if sandbar finally;(923) 909-5976 x076;Kris_Baumbach24@yahoo.com;../fake-data/blob/hipster.txt
2;maintainer;offensively sweetly pocket-watch;1-567-399-4775 x60831;Dulce.Auer@yahoo.com;../fake-data/blob/hipster.txt
3;blaring liberalize less;near;(905) 726-4223 x46991;Una32@hotmail.com;../fake-data/blob/hipster.txt
4;above eventually option;blah meanwhile among;1-881-826-4334 x653;Hyman69@gmail.com;../fake-data/blob/hipster.txt
5;um forenenst;justly bah;759-783-0186 x7522;Novella_Wuckert@hotmail.com;../fake-data/blob/hipster.txt
6;gosh dismal quirkily;pace;1-534-534-5467 x410;Ava_Wuckert@gmail.com;../fake-data/blob/hipster.txt
7;er joyfully chime;propound whereas;975.352.8536 x5239;Dianna57@yahoo.com;../fake-data/blob/hipster.txt
8;although;lest;(357) 775-3003 x33961;Federico_Swaniawski@gmail.com;../fake-data/blob/hipster.txt
9;proper worldly worth;than motivate grok;1-721-873-8842 x8861;Meggie_Feil@hotmail.com;../fake-data/blob/hipster.txt
10;delectable;yawningly plan;(574) 306-9754 x34758;Tate0@hotmail.com;../fake-data/blob/hipster.txt
